"Name","Length","LastWriteTime","CreationTime"
"00_READ_ME_FIRST_INSTRUCTIONS.txt","816","2025-10-26 9:42:17 PM","2025-10-26 9:42:17 PM"
"01_Permanent_Stay_Proceedings_Zero_Evidence_Application_FINAL_CLEAN (1) - Shortcut.lnk","2076","2025-10-19 8:31:25 AM","2025-10-19 8:31:25 AM"
"02_Constitutional_Right_to_Trial_Anti_Dismissal (1) - Shortcut.lnk","1896","2025-10-19 8:31:25 AM","2025-10-19 8:31:25 AM"
"03_Emergency_Evidence_Preservation_Order (1) - Shortcut.lnk","1837","2025-10-21 8:02:19 AM","2025-10-19 8:31:25 AM"
"04_Witness_Subpoena_PC_Gratton (1) - Shortcut.lnk","1747","2025-10-21 8:02:07 AM","2025-10-19 8:31:25 AM"
"0904484b4e5e87fc530369ea8ef16249 - Shortcut.lnk","1351","2025-10-26 10:51:18 PM","2025-10-26 10:51:18 PM"
"09_Witness_Subpoena_Crown_Attorney (1) - Shortcut.lnk","1783","2025-10-20 7:57:03 PM","2025-10-19 8:31:25 AM"
"134fd9193b7ec0c9235ebbef460e5596 - Shortcut.lnk","1351","2025-10-26 10:51:18 PM","2025-10-26 10:51:18 PM"
"141.0.7390.123 - Shortcut.lnk","1675","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"141.0.7390.125 - Shortcut.lnk","1675","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"15_Formal_Notice_to_Court_Constitutional_Rights (1) - Shortcut.lnk","1896","2025-10-19 8:31:25 AM","2025-10-19 8:31:25 AM"
"178 PAGESEvidence Destruction Exposes Criminal Conspiracy - DeepSeek - Shortcut (2).lnk","1537","2025-10-26 10:50:47 PM","2025-10-26 10:50:47 PM"
"178 PAGESEvidence Destruction Exposes Criminal Conspiracy - DeepSeek - Shortcut.lnk","2053","2025-10-19 8:31:25 AM","2025-10-19 8:31:25 AM"
"69c40f82ec586591dadb89e05cef1c4e - Shortcut.lnk","1351","2025-10-26 10:51:18 PM","2025-10-26 10:51:18 PM"
"6aae1a58-aa3d-477d-a6bc-c1875a2f4e58_ExportBlock-742782d2-929c-4a35-9d24-08baca3a22f0 - Shortcut.lnk","2158","2025-10-21 8:03:18 AM","2025-09-22 8:36:22 PM"
"Active_Windows.txt","5822","2025-10-30 6:22:20 PM","2025-10-30 6:22:20 PM"
"afd522c6db40c7641b89f7443a34dfe5 - Shortcut.lnk","1351","2025-10-26 10:51:18 PM","2025-10-26 10:51:18 PM"
"ALANA_BEST_IDENTIFICATION.txt","511","2025-10-27 6:32:22 PM","2025-10-27 6:32:22 PM"
"ALL ORIGINAL GMAIL CROWN - Shortcut.lnk","1629","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"all.min - Shortcut.lnk","1250","2025-10-26 10:51:18 PM","2025-10-26 10:51:18 PM"
"ALL_DISCLOSURE_FILES.csv","458621","2025-11-02 10:00:55 PM","2025-11-02 10:00:46 PM"
"ATTORNEY_GENERAL_CONSPIRACY.html","65","2025-10-27 10:07:40 AM","2025-10-27 10:05:27 AM"
"ATTORNEY_GENERAL_CONSPIRACY.pdf","50874","2025-10-27 10:39:58 AM","2025-10-27 10:39:58 AM"
"Audio Evidence Processor.lnk","699","2025-10-24 5:33:56 PM","2025-10-24 5:33:56 PM"
"Audio Transcription.lnk","669","2025-10-24 11:59:01 PM","2025-10-24 11:55:48 PM"
"Auditor_General_Response_20251029_174334.txt","9014","2025-10-29 5:43:47 PM","2025-10-29 5:43:35 PM"
"Blueprint_Model_Data_24hr.csv","137089","2025-09-07 12:20:09 PM","2025-09-07 12:20:09 PM"
"briskaudioclip1 - Shortcut (2).lnk","1189","2025-10-24 11:42:06 AM","2025-10-24 11:42:06 AM"
"briskaudioclip1 - Shortcut.lnk","1544","2025-10-19 8:31:25 AM","2025-10-19 8:31:25 AM"
"briskaudioclip4 - Shortcut.lnk","1544","2025-10-19 8:31:25 AM","2025-10-19 8:31:25 AM"
"chrome - Shortcut.lnk","1744","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"chrome.VisualElementsManifest - Shortcut.lnk","1985","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"chrome.zip","1614267","2025-11-02 8:55:12 AM","2025-11-02 8:55:12 AM"
"chrome_proxy - Shortcut.lnk","1800","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"chrome_proxy.zip","702424","2025-11-02 8:55:24 AM","2025-11-02 8:55:23 AM"
"Court questions with judge vs Crown_memo - Shortcut.lnk","1410","2025-10-24 11:42:06 AM","2025-10-24 11:42:06 AM"
"Cross-Examination Questions for Criminal Mischief Trial (2) - Shortcut.lnk","1968","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"DATABASE_EVIDENCE_TAMPERING_PROOF.txt","1266","2025-10-30 8:46:57 PM","2025-10-30 8:46:57 PM"
"Database_ID_Found_In_Files.csv","34017166","2025-11-02 9:52:38 PM","2025-11-02 9:45:16 PM"
"debug.log","477","2025-11-01 8:13:01 AM","2025-10-27 10:44:05 AM"
"DISCL 2 PICS - Shortcut.lnk","1942","2025-10-24 1:38:26 AM","2025-10-24 1:38:26 AM"
"DISCLOSURE A.txt","14097","2025-10-24 1:57:10 AM","2025-10-24 1:57:10 AM"
