"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","System.Collections.Generic.List`1[System.String]",,"RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","Downloads","True","C:\",".com - Gmail_files","2025-09-29 8:53:39 AM","2025-09-29 12:53:39 PM","2025-10-03 6:53:53 AM","2025-10-03 10:53:53 AM","2025-09-29 8:53:41 AM","2025-09-29 12:53:41 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail","System.Collections.Generic.List`1[System.String]",,"RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail.html","C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail.html",,"True",,".html","2025-09-29 8:53:29 AM","2025-09-29 12:53:29 PM","2025-09-29 8:53:40 AM","2025-09-29 12:53:40 PM","2025-09-29 8:53:39 AM","2025-09-29 12:53:39 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\response.py","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3","response.py","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response","System.Collections.Generic.List`1[System.String]","HardLink","response.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\response.py",,"True",,".py","2025-08-27 7:24:30 PM","2025-08-27 11:24:30 PM","2025-08-27 7:24:56 PM","2025-08-27 11:24:56 PM","2025-05-03 1:26:18 AM","2025-05-03 5:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\util\response.py","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\util","response.py","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response","System.Collections.Generic.List`1[System.String]","HardLink","response.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\util\response.py",,"True",,".py","2025-08-27 7:24:29 PM","2025-08-27 11:24:29 PM","2025-08-27 7:24:47 PM","2025-08-27 11:24:47 PM","2025-05-03 1:26:18 AM","2025-05-03 5:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__\response.cpython-312.pyc","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__","response.cpython-312.pyc","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response.cpython-312","System.Collections.Generic.List`1[System.String]",,"response.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__\response.cpython-312.pyc",,"True",,".pyc","2025-08-27 7:24:47 PM","2025-08-27 11:24:47 PM","2025-08-27 7:24:47 PM","2025-08-27 11:24:47 PM","2025-08-27 7:24:47 PM","2025-08-27 11:24:47 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\__pycache__\response.cpython-312.pyc","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\__pycache__","response.cpython-312.pyc","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response.cpython-312","System.Collections.Generic.List`1[System.String]",,"response.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\pip\_vendor\urllib3\__pycache__\response.cpython-312.pyc",,"True",,".pyc","2025-08-27 7:24:56 PM","2025-08-27 11:24:56 PM","2025-08-27 7:24:56 PM","2025-08-27 11:24:56 PM","2025-08-27 7:24:56 PM","2025-08-27 11:24:56 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\response.py","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3","response.py","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response","System.Collections.Generic.List`1[System.String]","HardLink","response.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\response.py",,"True",,".py","2025-08-27 7:24:33 PM","2025-08-27 11:24:33 PM","2025-08-27 7:24:59 PM","2025-08-27 11:24:59 PM","2025-04-10 6:21:43 PM","2025-04-10 10:21:43 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\contrib\emscripten\response.py","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\contrib\emscripten","response.py","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response","System.Collections.Generic.List`1[System.String]","HardLink","response.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\contrib\emscripten\response.py",,"True",,".py","2025-08-27 7:24:33 PM","2025-08-27 11:24:33 PM","2025-08-27 7:24:52 PM","2025-08-27 11:24:52 PM","2025-04-10 6:21:43 PM","2025-04-10 10:21:43 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\contrib\emscripten\__pycache__\response.cpython-312.pyc","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\contrib\emscripten\__pycache__","response.cpython-312.pyc","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response.cpython-312","System.Collections.Generic.List`1[System.String]",,"response.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\contrib\emscripten\__pycache__\response.cpython-312.pyc",,"True",,".pyc","2025-08-27 7:24:52 PM","2025-08-27 11:24:52 PM","2025-08-27 7:24:52 PM","2025-08-27 11:24:52 PM","2025-08-27 7:24:52 PM","2025-08-27 11:24:52 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\util\response.py","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\util","response.py","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","response","System.Collections.Generic.List`1[System.String]","HardLink","response.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\urllib3\util\response.py",,"True",,".py","2025-08-27 7:24:33 PM","2025-08-27 11:24:33 PM","2025-08-27 7:25:01 PM","2025-08-27 11:25:01 PM","2025-04-10 6:21:43 PM","2025-04-10 10:21:43 PM","Archive"
