"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Desktop","DEEP_DIVE_FAKE_SITES_KRAKEN","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","DEEP_DIVE_FAKE_SITES_KRAKEN","System.Collections.Generic.List`1[System.String]",,"DEEP_DIVE_FAKE_SITES_KRAKEN","C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN","Desktop","True","C:\","","2025-10-03 7:35:55 AM","2025-10-03 11:35:55 AM","2025-10-03 7:35:55 AM","2025-10-03 11:35:55 AM","2025-10-03 7:35:55 AM","2025-10-03 11:35:55 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor).html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents","Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor).html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor)","System.Collections.Generic.List`1[System.String]",,"Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor).html","C:\Users\User\Documents\Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor).html",,"True",,".html","2025-09-27 9:02:03 AM","2025-09-27 1:02:03 PM","2025-09-27 9:02:13 AM","2025-09-27 1:02:13 PM","2025-09-23 3:20:04 PM","2025-09-23 7:20:04 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents","Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025","System.Collections.Generic.List`1[System.String]",,"Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025.html","C:\Users\User\Documents\Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025.html",,"True",,".html","2025-09-27 9:02:03 AM","2025-09-27 1:02:03 PM","2025-09-27 9:02:13 AM","2025-09-27 1:02:13 PM","2025-09-26 8:26:42 PM","2025-09-27 12:26:42 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\app.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files","app.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","app","System.Collections.Generic.List`1[System.String]",,"app.html","C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\app.html",,"True",,".html","2025-09-27 9:02:07 AM","2025-09-27 1:02:07 PM","2025-09-27 9:02:12 AM","2025-09-27 1:02:12 PM","2025-09-26 8:29:44 PM","2025-09-27 12:29:44 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\bscframe.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files","bscframe.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","bscframe","System.Collections.Generic.List`1[System.String]",,"bscframe.html","C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\bscframe.html",,"True",,".html","2025-09-27 9:02:07 AM","2025-09-27 1:02:07 PM","2025-09-27 9:02:12 AM","2025-09-27 1:02:12 PM","2025-09-26 8:29:44 PM","2025-09-27 12:29:44 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\RotateCookiesPage.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files","RotateCookiesPage.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","RotateCookiesPage","System.Collections.Generic.List`1[System.String]",,"RotateCookiesPage.html","C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\RotateCookiesPage.html",,"True",,".html","2025-09-27 9:02:08 AM","2025-09-27 1:02:08 PM","2025-09-27 9:02:12 AM","2025-09-27 1:02:12 PM","2025-09-26 8:29:46 PM","2025-09-27 12:29:46 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\saved_resource(1).html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files","saved_resource(1).html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","saved_resource(1)","System.Collections.Generic.List`1[System.String]",,"saved_resource(1).html","C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\saved_resource(1).html",,"True",,".html","2025-09-27 9:02:08 AM","2025-09-27 1:02:08 PM","2025-09-27 9:02:12 AM","2025-09-27 1:02:12 PM","2025-09-26 8:29:44 PM","2025-09-27 12:29:44 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\saved_resource.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files","saved_resource.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","saved_resource","System.Collections.Generic.List`1[System.String]",,"saved_resource.html","C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files\saved_resource.html",,"True",,".html","2025-09-27 9:02:08 AM","2025-09-27 1:02:08 PM","2025-09-27 9:02:12 AM","2025-09-27 1:02:12 PM","2025-09-26 8:29:44 PM","2025-09-27 12:29:44 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files\anchor.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files","anchor.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","anchor","System.Collections.Generic.List`1[System.String]",,"anchor.html","C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files\anchor.html",,"True",,".html","2025-09-27 9:02:08 AM","2025-09-27 1:02:08 PM","2025-10-02 9:12:55 PM","2025-10-03 1:12:55 AM","2025-09-23 7:53:48 PM","2025-09-23 11:53:48 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files\saved_resource(1).html","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files","saved_resource(1).html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","saved_resource(1)","System.Collections.Generic.List`1[System.String]",,"saved_resource(1).html","C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files\saved_resource(1).html",,"True",,".html","2025-09-27 9:02:08 AM","2025-09-27 1:02:08 PM","2025-10-02 9:12:55 PM","2025-10-03 1:12:55 AM","2025-09-23 7:53:48 PM","2025-09-23 11:53:48 PM","Archive"
