"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Desktop","DEEP_DIVE_FAKE_SITES_KRAKEN","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","DEEP_DIVE_FAKE_SITES_KRAKEN","System.Collections.Generic.List`1[System.String]",,"DEEP_DIVE_FAKE_SITES_KRAKEN","C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN","Desktop","True","C:\","","2025-10-03 7:35:55 AM","2025-10-03 11:35:55 AM","2025-10-03 7:35:56 AM","2025-10-03 11:35:56 AM","2025-10-03 7:35:56 AM","2025-10-03 11:35:56 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN\FAKE_SITE_COMPONENTS.csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN","FAKE_SITE_COMPONENTS.csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","FAKE_SITE_COMPONENTS","System.Collections.Generic.List`1[System.String]",,"FAKE_SITE_COMPONENTS.csv","C:\Users\User\Desktop\DEEP_DIVE_FAKE_SITES_KRAKEN\FAKE_SITE_COMPONENTS.csv",,"True",,".csv","2025-10-03 7:35:56 AM","2025-10-03 11:35:56 AM","2025-10-03 7:35:58 AM","2025-10-03 11:35:58 AM","2025-10-03 7:35:58 AM","2025-10-03 11:35:58 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (1).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (1).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (1)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (1).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (1).csv",,"True",,".csv","2025-08-30 7:49:11 PM","2025-08-30 11:49:11 PM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-30 7:49:11 PM","2025-08-30 11:49:11 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (10).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (10).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (10)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (10).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (10).csv",,"True",,".csv","2025-08-31 3:35:08 AM","2025-08-31 7:35:08 AM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 3:35:08 AM","2025-08-31 7:35:08 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (11).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (11).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (11)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (11).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (11).csv",,"True",,".csv","2025-08-31 3:52:03 AM","2025-08-31 7:52:03 AM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 3:52:03 AM","2025-08-31 7:52:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (12).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (12).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (12)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (12).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (12).csv",,"True",,".csv","2025-08-31 3:52:21 AM","2025-08-31 7:52:21 AM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 3:52:21 AM","2025-08-31 7:52:21 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (13).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (13).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (13)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (13).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (13).csv",,"True",,".csv","2025-08-31 4:07:06 AM","2025-08-31 8:07:06 AM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 4:07:06 AM","2025-08-31 8:07:06 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (14).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (14).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (14)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (14).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (14).csv",,"True",,".csv","2025-08-31 9:37:15 AM","2025-08-31 1:37:15 PM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 9:37:16 AM","2025-08-31 1:37:16 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (15).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (15).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (15)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (15).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (15).csv",,"True",,".csv","2025-08-31 9:55:18 AM","2025-08-31 1:55:18 PM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 9:55:19 AM","2025-08-31 1:55:19 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (16).csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Downloads","KRAKEN_BTCUSD, 1 (16).csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","KRAKEN_BTCUSD, 1 (16)","System.Collections.Generic.List`1[System.String]",,"KRAKEN_BTCUSD, 1 (16).csv","C:\Users\User\Downloads\KRAKEN_BTCUSD, 1 (16).csv",,"True",,".csv","2025-08-31 10:54:07 AM","2025-08-31 2:54:07 PM","2025-10-03 6:58:43 AM","2025-10-03 10:58:43 AM","2025-08-31 10:54:09 AM","2025-08-31 2:54:09 PM","Archive"
