"FileName","FilePath","KeywordFound","FileSize","LastModified","FileType"
"20251010_Crown_Attorney_commu.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\20251010_Crown_Attorney_commu.txt","Crown Attorney","0.32 KB","2025-10-11 12:19:28 AM",".txt"
"2ND.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\2ND.txt","Attorney General","66.13 KB","2025-10-10 8:46:20 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Crown Attorney","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Crown Counsel","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Prosecutor","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Attorney General","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Ministry of Attorney","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Crown Law","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"3RD.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\3RD.txt","Criminal Division","2422.48 KB","2025-10-10 9:08:42 PM",".txt"
"911 voice text conversion_memo.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\911 voice text conversion_memo.txt","Prosecutor","22.79 KB","2025-09-26 8:31:52 PM",".txt"
"briskaudioclip1.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\briskaudioclip1.txt","Crown Attorney","19.53 KB","2025-10-14 6:02:22 AM",".txt"
"briskaudioclip4.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\briskaudioclip4.txt","Prosecutor","13.09 KB","2025-10-14 6:06:52 AM",".txt"
"CHARGES CLASSIFICATIONS ORGANIZE.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\CHARGES CLASSIFICATIONS ORGANIZE.txt","Crown Attorney","75.71 KB","2025-10-06 8:27:56 AM",".txt"
"CHARGES CLASSIFICATIONS ORGANIZE.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\CHARGES CLASSIFICATIONS ORGANIZE.txt","Prosecutor","75.71 KB","2025-10-06 8:27:56 AM",".txt"
"CHARGES CLASSIFICATIONS ORGANIZE.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\CHARGES CLASSIFICATIONS ORGANIZE.txt","Attorney General","75.71 KB","2025-10-06 8:27:56 AM",".txt"
"DeepSeek_2025-10-01_LegalAidTrap.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\DeepSeek_2025-10-01_LegalAidTrap.txt","Crown Attorney","1102.79 KB","2025-10-10 8:27:04 PM",".txt"
"DeepSeek_2025-10-01_LegalAidTrap.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\DeepSeek_2025-10-01_LegalAidTrap.txt","Attorney General","1102.79 KB","2025-10-10 8:27:04 PM",".txt"
"DOSS NEEDS TO BE SPECIFIC NO SHORT CUTS FILE.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\DOSS NEEDS TO BE SPECIFIC NO SHORT CUTS FILE.txt","Crown Attorney","512.92 KB","2025-10-04 5:35:14 PM",".txt"
"DOSS NEEDS TO BE SPECIFIC NO SHORT CUTS FILE.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\DOSS NEEDS TO BE SPECIFIC NO SHORT CUTS FILE.txt","Prosecutor","512.92 KB","2025-10-04 5:35:14 PM",".txt"
"DOSS NEEDS TO BE SPECIFIC NO SHORT CUTS FILE.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\DOSS NEEDS TO BE SPECIFIC NO SHORT CUTS FILE.txt","Attorney General","512.92 KB","2025-10-04 5:35:14 PM",".txt"
"FIRST.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\FIRST.txt","Crown Attorney","236.26 KB","2025-10-10 8:44:12 PM",".txt"
"FIRST.txt","C:\Users\User\Documents\EVIDENCE_PACKAGE\FIRST.txt","Attorney General","236.26 KB","2025-10-10 8:44:12 PM",".txt"
"original_msg.eml","C:\Users\User\Documents\EVIDENCE_PACKAGE\original_msg.eml","Crown Attorney","53.94 KB","2025-09-26 8:36:34 PM",".eml"
"original_msg.eml","C:\Users\User\Documents\EVIDENCE_PACKAGE\original_msg.eml","Attorney General","53.94 KB","2025-09-26 8:36:34 PM",".eml"
"R. v. Longo ? Emergency LAO Certificate + Disbursements ? OCJ Windsor ? Evidence Attached (AGC served 23?Sep?2025 21_34).eml","C:\Users\User\Documents\EVIDENCE_PACKAGE\R. v. Longo ? Emergency LAO Certificate + Disbursements ? OCJ Windsor ? Evidence Attached (AGC served 23?Sep?2025 21_34).eml","Attorney General","11.33 KB","2025-09-23 10:12:24 PM",".eml"
"rcp-37a-e.pdf","C:\Users\User\Documents\EVIDENCE_PACKAGE\rcp-37a-e.pdf","Attorney General","505.7 KB","2025-09-22 11:59:16 PM",".pdf"
"Subject_ R. v. Longo ? URGENT SERVICE ON AGC ? Form 4F ? Filed OCJ Windsor 23?Sep?2025 15_47 (3_47 pm).eml","C:\Users\User\Documents\EVIDENCE_PACKAGE\Subject_ R. v. Longo ? URGENT SERVICE ON AGC ? Form 4F ? Filed OCJ Windsor 23?Sep?2025 15_47 (3_47 pm).eml","Attorney General","1550.51 KB","2025-09-23 9:38:03 PM",".eml"
"MICROSOFT_SERVICES_ANALYSIS.txt","C:\Users\User\Documents\LONGO_CASE_MASTER\EMAIL_EVIDENCE_HUB_20251018_175215\06_MICROSOFT_EVIDENCE\MICROSOFT_SERVICES_ANALYSIS.txt","Crown Attorney","1.1 KB","2025-10-18 5:52:23 PM",".txt"
"MICROSOFT_SERVICES_ANALYSIS.txt","C:\Users\User\Documents\LONGO_CASE_MASTER\EMAIL_EVIDENCE_HUB_20251018_175215\MICROSOFT_SERVICES_ANALYSIS.txt","Crown Attorney","1.1 KB","2025-10-18 5:52:23 PM",".txt"
"911 voice text conversion_memo.txt","C:\Users\User\Documents\PRIORITY_FILING_TODAY\911 voice text conversion_memo.txt","Prosecutor","22.79 KB","2025-09-26 8:31:52 PM",".txt"
"Email_Evidence_Report.txt","C:\Users\User\Documents\SEPT23_REFILING_ALTERED_DOCS\Email_Evidence_Report.txt","Crown Attorney","2.89 KB","2025-10-13 1:27:34 PM",".txt"
