"Name","Directory","CreationTime","LastWriteTime"
"History Provider Cache","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default","2025-08-24 6:08:34 PM","2025-08-24 6:24:30 PM"
"History","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-10-03 5:28:31 AM"
"History-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-10-03 5:28:31 AM"
"Web Data","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-10-03 5:28:21 AM"
"Web Data-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-10-03 5:28:21 AM"
"Login Data","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-10-03 5:28:21 AM"
"Login Data-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-10-03 5:28:21 AM"
"Safe Browsing Cookies","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Safe Browsing Network","2025-08-24 6:26:34 PM","2025-10-03 6:01:42 AM"
"Safe Browsing Cookies-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Safe Browsing Network","2025-08-24 6:26:34 PM","2025-10-03 6:01:42 AM"
"Login Data For Account","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-08-24 6:26:34 PM"
"Login Data For Account-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-08-24 6:26:34 PM"
"Cookies","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Network","2025-08-24 6:26:34 PM","2025-10-03 6:33:15 AM"
"Cookies-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Network","2025-08-24 6:26:34 PM","2025-10-03 6:33:15 AM"
"Account Web Data","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-08-24 6:26:34 PM"
"Account Web Data-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default","2025-08-24 6:26:34 PM","2025-08-24 6:26:34 PM"
"History","C:\Users\User\AppData\Local\Google\Chrome\User Data\Profile 1","2025-08-24 8:28:13 PM","2025-09-27 12:00:04 AM"
"Web Data","C:\Users\User\AppData\Local\Google\Chrome\User Data\Profile 1","2025-08-24 8:28:13 PM","2025-09-27 11:01:09 PM"
"History-journal","C:\Users\User\AppData\Local\Google\Chrome\User Data\Profile 1","2025-08-24 8:28:13 PM","2025-09-27 2:36:09 AM"
