"Name","Vendor","Version","InstallDate","PackageCache"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","Microsoft Corporation","14.0.8478","20250827","C:\Windows\Installer\4a03b1.msi"
"Microsoft .NET AppHost Pack - 8.0.19 (x64_x86)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a0389.msi"
"Microsoft .NET Host FX Resolver - 8.0.19 (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a0379.msi"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","Microsoft Corporation","17.0.8478","20250827","C:\Windows\Installer\4a03b9.msi"
"Microsoft .NET Targeting Pack - 8.0.19 (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a0381.msi"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","Microsoft Corporation","64.0.5426","20250827","C:\Windows\Installer\4a03d5.msi"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","Microsoft Corporation","64.76.37362","20250827","C:\Windows\Installer\4a03c5.msi"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a03d1.msi"
"Microsoft .NET AppHost Pack - 8.0.19 (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a0385.msi"
"Microsoft Windows Desktop Runtime - 8.0.19 (x64)","Microsoft Corporation","64.76.37602","20250827","C:\Windows\Installer\4a0395.msi"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","Microsoft Corporation","24.0.28113","20250827","C:\Windows\Installer\4a0391.msi"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a03cd.msi"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a03bd.msi"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","Microsoft Corporation","17.0.8478","20250827","C:\Windows\Installer\4a03ad.msi"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","Microsoft Corporation","34.0.43","20250827","C:\Windows\Installer\4a03a5.msi"
"Microsoft .NET AppHost Pack - 8.0.19 (x64_arm64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a038d.msi"
"Microsoft Windows Desktop Targeting Pack - 8.0.19 (x64)","Microsoft Corporation","64.76.37602","20250827","C:\Windows\Installer\4a0399.msi"
"Microsoft ASP.NET Core 8.0.19 Targeting Pack (x64)","Microsoft Corporation","8.0.19.25372","20250827","C:\Windows\Installer\4a039d.msi"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","Microsoft Corporation","17.0.8478","20250827","C:\Windows\Installer\4a03a9.msi"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","Microsoft Corporation","8.0.3","20250827","C:\Windows\Installer\4a03b5.msi"
"Microsoft .NET Host - 8.0.19 (x64)","Microsoft Corporation","64.76.37566","20250827","C:\Windows\Installer\4a037d.msi"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","Microsoft Corporation","64.76.37362","20250827","C:\Windows\Installer\4a03c9.msi"
