"Name","Directory","SizeMB","CreationTime","LastWriteTime","LastAccessTime","Attributes"
"AUDIO EVIDENCE SUMMARY - RECORDED CONFESSIONS.xlsx","C:\Users\User\Downloads\LONGO VS CORRUPT OFFICIALS-20250923T025104Z-1-001\LONGO VS CORRUPT OFFICIALS\Final","0.01","1979-12-31 11:00:00 PM","2025-09-24 4:03:37 PM","2025-09-24 4:03:37 PM","Archive"
"ChangeLog","C:\Users\User\Downloads\aria2-1.37.0-win-64bit-build1\aria2-1.37.0-win-64bit-build1","0.04","2023-11-15 10:21:46 PM","2025-09-05 8:13:56 PM","2025-09-05 8:14:37 PM","Archive"
"logb.decTest","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\decimaltestdata","0.01","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"logging_helper.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\support","0.00","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"test_watchers.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\test_capi","0.02","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:05 PM","Archive"
"ddLogB.decTest","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\decimaltestdata","0.01","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"dqLogB.decTest","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\decimaltestdata","0.01","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"log10.decTest","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\decimaltestdata","0.03","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"test_simpledialog.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\test_tkinter","0.00","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:06 PM","Archive"
"configdialog.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\idlelib","0.10","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-09-01 9:09:55 AM","Archive"
"ChangeLog","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\idlelib","0.06","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:13 PM","Archive"
"log.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio","0.00","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-31 8:11:46 AM","Archive"
"logger.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test\libregrtest","0.00","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"resource_tracker.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\multiprocessing","0.01","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:57:59 PM","Archive"
"test_configdialog.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\idlelib\idle_test","0.05","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:14 PM","Archive"
"test_audit.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test","0.01","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:05 PM","Archive"
"memory_watchdog.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test","0.00","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
"audit-tests.py","C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\test","0.01","2025-04-08 3:56:52 PM","2025-04-08 3:56:52 PM","2025-08-30 9:58:04 PM","Archive"
