"Name","Directory","Length","LastWriteTime"
"bitcoin_chart.html","C:\Users\User","4778222","2025-08-30 11:44:52 PM"
"Blueprint_Model_Data_12hr.csv","C:\Users\User","44170","2025-09-07 5:24:34 PM"
"market_data_ES=F_20250909_013221.csv","C:\Users\User","7","2025-09-09 1:32:21 AM"
"market_data_NQ_20250909_012837.csv","C:\Users\User","372","2025-09-09 1:28:37 AM"
"market_data_NQ_20250909_012858.csv","C:\Users\User","372","2025-09-09 1:28:58 AM"
"main","C:\Users\User\.cache\huggingface\hub\models--bartowski--Qwen_Qwen3-4B-GGUF\refs","40","2025-09-01 2:43:43 AM"
"main","C:\Users\User\.cache\huggingface\hub\models--Qwen--Qwen3-8B\refs","40","2025-08-31 8:18:24 AM"
"8.0.413_IsDockerContainer.dotnetUserLevelCache","C:\Users\User\.dotnet","5","2025-08-27 6:57:56 PM"
"Blueprint_Model_Data_24hr.csv","C:\Users\User\Desktop","137089","2025-09-07 12:20:09 PM"
"1007_aircraft_lease.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","514516","2025-08-27 7:21:07 PM"
"1273_os_haiku.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","8543","2025-08-19 4:52:05 AM"
"137_files_list_main_content_extraction.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","44","2025-09-21 11:27:08 AM"
"1973_os_haiku.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","8543","2025-08-19 4:52:05 AM"
"2121_place-your-models-here.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","0","2025-08-27 7:21:07 PM"
"2126_put-trainer-datasets-here.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","78","2025-08-27 7:21:07 PM"
"707_mailcap.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","1308","2025-04-08 3:56:52 PM"
"866_original disclosure email sha256.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","179487","2025-09-23 8:07:40 PM"
"883_AI MIRROR METHOD OATH V1.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","17294","2025-09-19 8:55:57 AM"
"942_mirror_method_precision_oracle.1 minute and 15 minute explained.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","2109","2025-09-14 4:54:36 AM"
"955_original disclosure email sha256.txt","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","179487","2025-09-23 8:07:38 PM"
"962_Professional TradingView-Style Candlestick Chart Generation.docx","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","46405","2025-09-15 6:37:01 PM"
"979_Volume Analyzer System_ Market Microstructure Technical Documentation.docx","C:\Users\User\Desktop\PC2_EVIDENCE_SCAN","22587","2025-09-15 6:40:04 AM"
"(impossible posistion) - flongo11@gmail.com - Gmail.html","C:\Users\User\Documents","4101518","2025-09-26 8:29:44 PM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE (3).xps","C:\Users\User\Documents","691682","2025-09-24 2:21:24 AM"
