"PSPath","PSDrive","PSProvider","PSIsContainer","Name","Key","Value"
"Microsoft.PowerShell.Core\Environment::ALLUSERSPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","ALLUSERSPROFILE","ALLUSERSPROFILE","C:\ProgramData"
"Microsoft.PowerShell.Core\Environment::APPDATA","Env","Microsoft.PowerShell.Core\Environment","False","APPDATA","APPDATA","C:\Users\User\AppData\Roaming"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles","CommonProgramFiles","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles(x86)","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles(x86)","CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramW6432","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramW6432","CommonProgramW6432","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::COMPUTERNAME","Env","Microsoft.PowerShell.Core\Environment","False","COMPUTERNAME","COMPUTERNAME","DESKTOP-RVD6TK8"
"Microsoft.PowerShell.Core\Environment::ComSpec","Env","Microsoft.PowerShell.Core\Environment","False","ComSpec","ComSpec","C:\Windows\system32\cmd.exe"
"Microsoft.PowerShell.Core\Environment::DriverData","Env","Microsoft.PowerShell.Core\Environment","False","DriverData","DriverData","C:\Windows\System32\Drivers\DriverData"
"Microsoft.PowerShell.Core\Environment::FPS_BROWSER_APP_PROFILE_STRING","Env","Microsoft.PowerShell.Core\Environment","False","FPS_BROWSER_APP_PROFILE_STRING","FPS_BROWSER_APP_PROFILE_STRING","Internet Explorer"
"Microsoft.PowerShell.Core\Environment::FPS_BROWSER_USER_PROFILE_STRING","Env","Microsoft.PowerShell.Core\Environment","False","FPS_BROWSER_USER_PROFILE_STRING","FPS_BROWSER_USER_PROFILE_STRING","Default"
"Microsoft.PowerShell.Core\Environment::HOMEDRIVE","Env","Microsoft.PowerShell.Core\Environment","False","HOMEDRIVE","HOMEDRIVE","C:"
"Microsoft.PowerShell.Core\Environment::HOMEPATH","Env","Microsoft.PowerShell.Core\Environment","False","HOMEPATH","HOMEPATH","\Users\User"
