"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","AppData","C","Microsoft.PowerShell.Core\FileSystem","True","d--h--","AppData","System.Collections.Generic.List`1[System.String]",,"AppData","C:\Users\User\AppData","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-10-03 6:14:03 AM","2025-10-03 10:14:03 AM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Application Data","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","Application Data","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","Application Data",,,"Application Data","C:\Users\User\Application Data","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:00 PM","2025-08-27 10:20:00 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Cookies","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","Cookies","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","Cookies",,,"Cookies","C:\Users\User\Cookies","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:00 PM","2025-08-27 10:20:00 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\IntelGraphicsProfiles","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","IntelGraphicsProfiles","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","IntelGraphicsProfiles","System.Collections.Generic.List`1[System.String]",,"IntelGraphicsProfiles","C:\Users\User\IntelGraphicsProfiles","User","True","C:\","","2025-08-24 6:13:12 PM","2025-08-24 10:13:12 PM","2025-10-03 5:44:49 AM","2025-10-03 9:44:49 AM","2025-10-02 8:58:00 PM","2025-10-03 12:58:00 AM","Hidden, System, Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Local Settings","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","Local Settings","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","Local Settings",,,"Local Settings","C:\Users\User\Local Settings","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:07 PM","2025-08-27 10:20:07 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\My Documents","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","My Documents","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","My Documents",,,"My Documents","C:\Users\User\My Documents","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:07 PM","2025-08-27 10:20:07 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\NetHood","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","NetHood","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","NetHood",,,"NetHood","C:\Users\User\NetHood","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:07 PM","2025-08-27 10:20:07 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\PrintHood","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","PrintHood","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","PrintHood",,,"PrintHood","C:\Users\User\PrintHood","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:07 PM","2025-08-27 10:20:07 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\Recent","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","Recent","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","Recent",,,"Recent","C:\Users\User\Recent","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:07 PM","2025-08-27 10:20:07 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\SendTo","Microsoft.PowerShell.Core\FileSystem::C:\Users\User","SendTo","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","SendTo",,,"SendTo","C:\Users\User\SendTo","User","True","C:\","","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","2025-08-27 6:20:07 PM","2025-08-27 10:20:07 PM","2025-08-25 12:23:56 AM","2025-08-25 4:23:56 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
