"Name","LastWriteTime"
"AutomaticDestinations","2025-09-29 9:16:47 AM"
"CustomDestinations","2025-10-02 9:13:56 PM"
"$outputFile.lnk","2025-09-27 9:02:28 PM"
"0904484b4e5e87fc530369ea8ef16249.lnk","2025-09-28 10:35:38 PM"
"1000011874.lnk","2025-10-02 9:09:57 PM"
"1169_MacRoman.lnk","2025-10-03 6:10:54 AM"
"1266_motion.lnk","2025-10-03 6:11:58 AM"
"134fd9193b7ec0c9235ebbef460e5596.lnk","2025-09-28 10:37:24 PM"
"15192_13403596187617435.lnk","2025-09-29 6:34:30 AM"
"200.lnk","2025-09-29 8:16:06 AM"
"214_000003.lnk","2025-10-03 5:47:26 AM"
"221_index.lnk","2025-10-03 5:47:43 AM"
"232_sync_diagnostic.lnk","2025-10-03 5:48:09 AM"
"240_hub-signature.lnk","2025-10-03 5:48:51 AM"
"316_passwords.lnk","2025-10-03 5:49:47 AM"
"340_Install-PerUser_2025-09-19_101800_1576-276.lnk","2025-10-03 5:51:19 AM"
"387_V01000DE.lnk","2025-10-03 5:53:37 AM"
"404.lnk","2025-09-29 8:15:48 AM"
"408_WinGetCOM-2025-09-19-01-05-22.049.lnk","2025-10-03 5:54:18 AM"
"484_appsconversions.lnk","2025-10-03 5:55:17 AM"
"531_TODO.lnk","2025-10-03 5:55:47 AM"
"533_README.lnk","2025-10-03 5:59:18 AM"
"577_top_level.lnk","2025-10-03 6:01:02 AM"
"7b.lnk","2025-09-19 10:23:53 PM"
"810_ConsoleHost_history.lnk","2025-10-03 6:01:56 AM"
"817_000003.lnk","2025-10-03 6:05:19 AM"
"8324_13403596187337927.pma (2).lnk","2025-09-29 9:13:56 AM"
"8324_13403596187337927.pma.lnk","2025-09-29 6:32:12 AM"
"855_CLAUDE mirror method oath.lnk","2025-10-03 6:06:28 AM"
"access_codes.lnk","2025-09-29 9:21:09 AM"
"afd522c6db40c7641b89f7443a34dfe5.lnk","2025-09-28 10:35:27 PM"
"all.min.lnk","2025-09-28 10:46:50 PM"
"anchor.lnk","2025-09-28 10:54:24 PM"
"api.js.lnk","2025-09-28 10:49:00 PM"
"API.lnk","2025-09-28 10:51:40 PM"
"Application (2).lnk","2025-09-29 9:16:41 AM"
"Application.lnk","2025-09-29 3:41:04 AM"
"autopilotagent_menu.DTFZNCDA.lnk","2025-09-28 10:53:10 PM"
"b4da65296c06110806ba49dec0d708ee.lnk","2025-09-28 10:47:12 PM"
"bathroomrough locatiom.lnk","2025-09-29 8:32:01 AM"
"BlackBlueSkinImages64.lnk","2025-09-29 9:14:31 AM"
"case find 1.lnk","2025-10-02 9:19:09 PM"
"CBOT_MINI_YM1!, 1.lnk","2025-09-28 3:04:25 AM"
"chat_agent.DIdLW9_C.lnk","2025-09-28 10:52:01 PM"
"chrome.VisualElementsManifest.lnk","2025-09-29 3:41:04 AM"
"clkmgnghfbgkppnhdfoacpbpnakghhdk.lnk","2025-09-29 8:14:58 AM"
"CME_MINI_NQZ2025, 1 (15).lnk","2025-09-28 3:04:24 AM"
"CME_MINI_NQZ2025, 1 (16).lnk","2025-09-28 3:04:33 AM"
"CME_MINI_NQZ2025, 1 (16)HISTORICAL.lnk","2025-09-28 3:04:33 AM"
