"Name","Id","CPU","WorkingSet","Path"
"chrome","10796","441.734375","566816768","C:\Program Files\Google\Chrome\Application\chrome.exe"
"msedge","10192","285.28125","110604288","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","4812","245.6875","83005440","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"chrome","9636","108.53125","102498304","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","10200","102.578125","363810816","C:\Program Files\Google\Chrome\Application\chrome.exe"
"explorer","6660","70.5625","148033536","C:\Windows\Explorer.EXE"
"powershell","10628","48.109375","739401728","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"OneDrive","9400","33.015625","104906752","C:\Users\User\AppData\Local\Microsoft\OneDrive\OneDrive.exe"
"msedge","9852","32.84375","237793280","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"explorer","6580","28.4375","76120064","C:\Windows\explorer.exe"
"ollama app","3624","21.15625","32161792","C:\Users\User\AppData\Local\Programs\Ollama\ollama app.exe"
"msedge","1944","20.8125","346972160","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","7308","20.46875","201646080","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"explorer","8844","18.171875","72929280","C:\Windows\explorer.exe"
"SearchApp","8104","13.90625","90644480","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"explorer","12940","13.046875","78389248","C:\Windows\explorer.exe"
"msedge","2116","11.84375","98226176","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"RuntimeBroker","4964","10.421875","34893824","C:\Windows\System32\RuntimeBroker.exe"
"msedgewebview2","10652","9.296875","56995840","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.94\msedgewebview2.exe"
"svchost","7940","8.46875","22216704","C:\Windows\System32\svchost.exe"
"sihost","5788","7.59375","26927104","C:\Windows\system32\sihost.exe"
"conhost","11252","7.234375","16515072","C:\Windows\system32\conhost.exe"
"explorer","620","7.0625","66134016","C:\Windows\explorer.exe"
"msedge","8860","6.921875","106201088","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","10184","6.28125","51003392","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"explorer","504","6.25","65396736","C:\Windows\explorer.exe"
"ctfmon","6376","6.078125","45752320",
"ShellExperienceHost","10896","5.390625","66453504","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"chrome","3948","4.90625","46698496","C:\Program Files\Google\Chrome\Application\chrome.exe"
"SearchApp","2620","4.859375","54353920","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"RuntimeBroker","7596","4.484375","31248384","C:\Windows\System32\RuntimeBroker.exe"
"TextInputHost","9040","4.25","77484032","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"notepad","8412","4.0625","22642688","C:\Windows\system32\NOTEPAD.EXE"
"msedgewebview2","9908","3.6875","83931136","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.94\msedgewebview2.exe"
"RuntimeBroker","8824","3.234375","28016640","C:\Windows\System32\RuntimeBroker.exe"
"StartMenuExperienceHost","7412","3.046875","62296064","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","5828","2.84375","18583552","C:\Windows\system32\svchost.exe"
"taskhostw","6024","2.796875","17448960","C:\Windows\system32\taskhostw.exe"
"msedge","2736","2.53125","89600000","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
