"Name","Directory","Length","LastWriteTime","LastAccessTime","Attributes","Owner"
"UsrClass.dat{1d8193fd-816b-11f0-a267-28b2bd7d5172}.TxR.0.regtrans-ms","C:\Users\User\AppData\Local\Microsoft\Windows","1048576","2025-10-03 6:20:40 AM","2025-10-03 6:20:40 AM","Hidden, System, Archive","NT AUTHORITY\SYSTEM"
"NTUSER.DAT{53b39e87-18c4-11ea-a811-000d3aa4692b}.TxR.0.regtrans-ms","C:\Users\User","1048576","2025-10-03 6:20:40 AM","2025-10-03 6:20:40 AM","Hidden, System, Archive","NT AUTHORITY\SYSTEM"
"VCIOMGEL",,,"2025-10-03 5:50:29 AM","2025-10-03 6:20:40 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"I1WE3WYM",,,"2025-10-03 5:50:29 AM","2025-10-03 6:20:40 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"HL02TYPK",,,"2025-10-03 5:50:29 AM","2025-10-03 6:20:40 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"WebCache",,,"2025-10-03 5:50:29 AM","2025-10-03 5:50:29 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"WOCQ5CKP",,,"2025-10-03 5:50:29 AM","2025-10-03 6:20:40 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"DFBE70A7E5CC19A398EBF1B96859CE5D","C:\Users\User\AppData\Local\Microsoft\Credentials","11152","2025-10-03 5:48:10 AM","2025-10-03 5:48:10 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100320251004","0","2025-10-03 5:32:44 AM","2025-10-03 5:32:44 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"MSHist012025100320251004",,,"2025-10-03 5:32:44 AM","2025-10-03 5:32:44 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"History.IE5",,,"2025-10-03 5:32:44 AM","2025-10-03 5:32:44 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-10-03 5:32:44 AM","2025-10-03 5:32:44 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"Content.IE5",,,"2025-10-03 5:32:44 AM","2025-10-03 5:32:44 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed","DESKTOP-RVD6TK8\User"
"IE",,,"2025-10-03 5:28:20 AM","2025-10-03 5:28:20 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-10-02 9:40:48 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-10-02 9:40:48 PM","2025-10-03 5:28:17 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"NTUSER.DAT{53b39e87-18c4-11ea-a811-000d3aa4692b}.TxR.blf","C:\Users\User","65536","2025-10-02 9:40:26 PM","2025-10-02 9:40:26 PM","Hidden, System, Archive","BUILTIN\Administrators"
"UsrClass.dat{1d8193fd-816b-11f0-a267-28b2bd7d5172}.TxR.blf","C:\Users\User\AppData\Local\Microsoft\Windows","65536","2025-10-02 9:40:26 PM","2025-10-02 9:40:26 PM","Hidden, System, Archive","BUILTIN\Administrators"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100220251003","0","2025-10-02 9:08:09 PM","2025-10-02 9:08:09 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"MSHist012025100220251003",,,"2025-10-02 9:08:09 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"17",,,"2025-10-02 8:58:06 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"74KOECYQ",,,"2025-10-02 8:58:06 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\AppCache\74KOECYQ\17","0","2025-10-02 8:58:06 PM","2025-10-02 8:58:06 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"settings.dat.LOG1","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\Settings","45056","2025-10-02 8:58:06 PM","2025-10-02 8:58:06 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"settings.dat.LOG2","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\Settings","73728","2025-10-02 8:58:06 PM","2025-10-02 8:58:06 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"settings.dat.LOG2","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings","0","2025-10-02 8:58:04 PM","2025-10-02 8:58:04 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"settings.dat.LOG1","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings","8192","2025-10-02 8:58:04 PM","2025-10-02 8:58:04 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"Enhance Video Colors.man.igpi","C:\Users\User\IntelGraphicsProfiles","8436","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"IntelGraphicsProfiles",,,"2025-10-02 8:58:00 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory","DESKTOP-RVD6TK8\User"
"Darken Video.man.igpi","C:\Users\User\IntelGraphicsProfiles","8436","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"Brighten Video.man.igpi","C:\Users\User\IntelGraphicsProfiles","8436","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"WPNPRMRY.tmp","C:\Users\User\AppData\Local\Microsoft\Windows\Notifications","0","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, Archive","DESKTOP-RVD6TK8\User"
"ESE",,,"2025-09-29 8:25:45 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.MSPaint_8wekyb3d8bbwe\AC\INetCookies\ESE","0","2025-09-29 8:25:45 AM","2025-09-29 8:25:45 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-29 8:25:45 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
