"PSComputerName","ProcessName","Handles","VM","WS","Path","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CommandLine","CreationClassName","CreationDate","CSCreationClassName","CSName","Description","ExecutablePath","ExecutionState","Handle","HandleCount","InstallDate","KernelModeTime","MaximumWorkingSetSize","MinimumWorkingSetSize","Name","OSCreationClassName","OSName","OtherOperationCount","OtherTransferCount","PageFaults","PageFileUsage","ParentProcessId","PeakPageFileUsage","PeakVirtualSize","PeakWorkingSetSize","Priority","PrivatePageCount","ProcessId","QuotaNonPagedPoolUsage","QuotaPagedPoolUsage","QuotaPeakNonPagedPoolUsage","QuotaPeakPagedPoolUsage","ReadOperationCount","ReadTransferCount","SessionId","Status","TerminationDate","ThreadCount","UserModeTime","VirtualSize","WindowsVersion","WorkingSetSize","WriteOperationCount","WriteTransferCount","Scope","Options","ClassPath","Properties","SystemProperties","Qualifiers","Site","Container"
"DESKTOP-RVD6TK8","System Idle Process","0","8192","8192",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""0""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""0""","System Idle Process",,"Win32_Process","20251002205749.573333-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","System Idle Process",,,"0","0",,"1309675468750",,,"System Idle Process","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","0","0","9","60","0","60","8192","12","0","61440","0","1","0","1","0","0","0","0",,,"4","0","8192","10.0.19045","8192","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","System","3676","4001792","143360",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""4""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""4""","System",,"Win32_Process","20251002205749.573333-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","System",,,"4","3676",,"1484531250",,,"System","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","239511","14118580","10282","196","0","224","20221952","8464","8","200704","4","1","0","1","0","20594","17501815","0",,,"147","0","4001792","10.0.19045","143360","22552","878314070","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","Registry","0","96292864","33021952",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""100""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""100""","Registry",,"Win32_Process","20251002205747.564500-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","Registry",,,"100","0",,"39531250",,,"Registry","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","573","6383","137983","5928","4","99416","189763584","163228","8","6070272","100","14","188","25","367","336","4026368","0",,,"4","0","96292864","10.0.19045","33021952","7635","203907072","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","smss.exe","53","2203359748096","1081344",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""356""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""356""","smss.exe",,"Win32_Process","20251002205749.579838-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","smss.exe",,,"356","53",,"2500000",,,"smss.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","521","9478","967","1068","4","1120","2203368067072","1256","11","1093632","356","4","13","8","24","22","16804","0",,,"2","0","2203359748096","10.0.19045","1081344","13","65684","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","csrss.exe","595","2203414036480","5455872",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""496""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""496""","csrss.exe",,"Win32_Process","20251002205755.306391-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","csrss.exe",,,"496","595",,"21093750",,,"csrss.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","34279","1841243","9202","1924","448","2268","2203416592384","5784","13","1970176","496","22","242","28","276","376","286171","0",,,"11","3906250","2203414036480","10.0.19045","5455872","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","wininit.exe","165","2203387932672","6385664",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""588""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""588""","wininit.exe",,"Win32_Process","20251002205755.522776-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","wininit.exe",,,"588","165",,"312500",,,"wininit.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","519","3122","2236","1384","448","1924","2203400720384","7304","13","1417216","588","11","76","13","90","3","17924","0",,,"1","0","2203387932672","10.0.19045","6385664","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","csrss.exe","765","2203447152640","6574080",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""596""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""596""","csrss.exe",,"Win32_Process","20251002205755.529545-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","csrss.exe",,,"596","765",,"105312500",,,"csrss.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","109462","2278016","3811900","2856","580","10784","2203456430080","22676","13","2924544","596","31","291","32","299","122368","3282831","1",,,"13","8125000","2203447152640","10.0.19045","6574080","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","winlogon.exe","286","2203427168256","10514432",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""696""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""696""","winlogon.exe",,"Win32_Process","20251002205755.587352-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","winlogon.exe",,,"696","286",,"2343750",,,"winlogon.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","453","237608","14776","3928","580","7032","2203448958976","19572","13","4022272","696","14","145","18","187","5","18180","1",,,"6","1093750","2203427168256","10.0.19045","10514432","1","160","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","services.exe","703","2203386343424","10596352",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""740""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""740""","services.exe",,"Win32_Process","20251002205755.630781-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","services.exe",,,"740","703",,"212031250",,,"services.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","82149","2013390","71574","6264","588","6412","2203401859072","10872","9","6414336","740","13","157","17","168","96","331892","0",,,"8","180000000","2203386343424","10.0.19045","10596352","1","160","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","lsass.exe","1397","2203420033024","19312640",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""748""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""748""","lsass.exe",,"Win32_Process","20251002205755.659984-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","lsass.exe",,,"748","1397",,"39687500",,,"lsass.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","39085","2767344","13110","7604","588","8080","2203423133696","20256","9","7786496","748","25","155","29","156","1759","155189","0",,,"9","46875000","2203420033024","10.0.19045","19312640","1152","228498","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
