"Name","Directory","CreationTime","LastWriteTime","Length","CompanyMatch"
"User Profile Data Update Review_files",,"2025-09-22 8:39:29 PM","2025-09-22 8:39:31 PM",,"Unknown"
"browser_use_setup.md","C:\Users\User\Downloads","2025-09-03 12:12:01 AM","2025-09-03 12:12:01 AM","9918","Unknown"
"ChromeSetup.exe","C:\Users\User\Downloads","2025-08-24 6:25:03 PM","2025-08-24 6:25:07 PM","11065272","Unknown"
"Claude-Setup-arm64.exe","C:\Users\User\Downloads","2025-09-09 5:16:59 AM","2025-09-09 5:19:03 AM","124524368","Unknown"
"Claude-Setup-x64.exe","C:\Users\User\Downloads","2025-09-10 12:51:58 AM","2025-09-10 12:53:57 AM","124965200","Unknown"
"deepseek_powershell_20250831_84d83a.ps1","C:\Users\User\Downloads","2025-08-30 9:55:47 PM","2025-08-30 9:55:49 PM","25","Unknown"
"deepseek_powershell_20250831_cd749c.ps1","C:\Users\User\Downloads","2025-08-30 9:55:33 PM","2025-08-30 9:55:36 PM","26","Unknown"
"deepseek_powershell_20250831_fbb7ac (1).ps1","C:\Users\User\Downloads","2025-08-30 9:55:43 PM","2025-08-30 9:55:44 PM","16","Unknown"
"deepseek_powershell_20250831_fbb7ac.ps1","C:\Users\User\Downloads","2025-08-30 9:55:38 PM","2025-08-30 9:55:40 PM","16","Unknown"
"deepseek_powershell_20250904_6a210c.ps1","C:\Users\User\Downloads","2025-09-04 7:24:48 PM","2025-09-04 7:24:49 PM","15","Unknown"
"GitHubDesktopSetup-x64.exe","C:\Users\User\Downloads","2025-09-14 3:01:16 PM","2025-09-14 3:09:06 PM","177245656","Unknown"
"Gmail - Urgent Update_ Systematic Judicial Corruption Conspiracy (As of September 25, 2025).pdf","C:\Users\User\Downloads","2025-09-26 2:25:44 AM","2025-09-26 2:25:44 AM","170294","Unknown"
"install pip cmd.txt","C:\Users\User\Downloads","2025-08-25 1:36:42 PM","2025-08-25 1:37:35 PM","1557","Unknown"
"MediaCreationTool_22H2.exe","C:\Users\User\Downloads","2025-08-25 7:23:09 PM","2025-08-25 7:23:12 PM","19463448","Unknown"
"OllamaSetup.exe","C:\Users\User\Downloads","2025-09-07 9:50:15 PM","2025-09-07 10:02:59 PM","704878880","Unknown"
"OperaSetup (1).exe","C:\Users\User\Downloads","2025-08-29 5:13:29 PM","2025-08-29 5:13:34 PM","3114496","Unknown"
"OperaSetup.exe","C:\Users\User\Downloads","2025-08-28 8:07:47 PM","2025-08-28 8:07:51 PM","3114496","Unknown"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (1).json","C:\Users\User\Downloads","2025-08-27 10:40:57 AM","2025-08-27 10:40:57 AM","94028","trading"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (2).json","C:\Users\User\Downloads","2025-08-27 10:40:57 AM","2025-08-27 10:40:57 AM","94028","trading"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (3).json","C:\Users\User\Downloads","2025-08-27 10:41:10 AM","2025-08-27 10:41:11 AM","86587","trading"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (4).json","C:\Users\User\Downloads","2025-08-27 11:44:12 AM","2025-08-27 11:44:13 AM","87093","trading"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS.json","C:\Users\User\Downloads","2025-08-27 10:40:28 AM","2025-08-27 10:40:28 AM","94028","trading"
"trading_summary.json","C:\Users\User\Downloads","2025-08-29 9:59:43 AM","2025-08-29 9:59:44 AM","1182","trading"
"User Profile Data Update Review.html","C:\Users\User\Downloads","2025-09-22 8:39:29 PM","2025-09-22 8:39:29 PM","3107078","Unknown"
"Windows10Upgrade9252.exe","C:\Users\User\Downloads","2025-08-25 7:22:51 PM","2025-08-25 7:22:52 PM","3343496","Unknown"
"Windows11InstallationAssistant (1).exe","C:\Users\User\Downloads","2025-08-25 7:20:07 PM","2025-08-25 7:20:09 PM","4161152","Unknown"
"Windows11InstallationAssistant.exe","C:\Users\User\Downloads","2025-08-25 7:16:21 PM","2025-08-25 7:16:22 PM","4161152","Unknown"
"WindowsPCHealthCheckSetup.msi","C:\Users\User\Downloads","2025-08-25 7:20:28 PM","2025-08-25 7:20:35 PM","14348288","Unknown"
"api.js.download","C:\Users\User\Downloads\(impossible posistion) - flongo11@gmail.com - Gmail_files","2025-09-26 8:29:43 PM","2025-09-26 8:29:43 PM","14490","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\(impossible posistion) - flongo11@gmail.com - Gmail_files","2025-09-26 8:29:35 PM","2025-09-26 8:29:36 PM","124225","Unknown"
"appleid.auth.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:48 AM","2025-09-24 2:35:49 AM","43171","Unknown"
"awsc.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:46 AM","2025-09-24 2:35:46 AM","11399","Unknown"
"baxiaCommon.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:46 AM","2025-09-24 2:35:46 AM","37289","Unknown"
"eg.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:51 AM","2025-09-24 2:35:51 AM","91","Unknown"
"et_f.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:45 AM","2025-09-24 2:35:46 AM","295155","Unknown"
"fireyejs.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:43 AM","2025-09-24 2:35:45 AM","462779","Unknown"
"index(1).js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:47 AM","2025-09-24 2:35:47 AM","17175","Unknown"
"index(2).js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:55 AM","2025-09-24 2:35:55 AM","112027","Unknown"
"index.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:46 AM","2025-09-24 2:35:47 AM","17754","Unknown"
"jquery.min.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:48 AM","2025-09-24 2:35:48 AM","144571","Unknown"
"polyfill.min.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:48 AM","2025-09-24 2:35:48 AM","102","Unknown"
"stat.js.download","C:\Users\User\Downloads\4455999_files","2025-09-24 2:35:47 AM","2025-09-24 2:35:47 AM","15539","Unknown"
"aria2c.exe","C:\Users\User\Downloads\aria2-1.37.0-win-64bit-build1\aria2-1.37.0-win-64bit-build1","2023-11-15 10:21:46 PM","2025-09-05 8:13:55 PM","5649408","Unknown"
"common.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:47 PM","2025-09-27 8:29:48 PM","126335","Unknown"
"editor.main.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:45 PM","2025-09-27 8:29:47 PM","3765743","Unknown"
"gtm.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:42 PM","2025-09-27 8:29:42 PM","434082","Unknown"
"HYZlMEXM6ED6_vs_loader.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:44 PM","2025-09-27 8:29:45 PM","30060","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:44 PM","2025-09-27 8:29:44 PM","124225","Unknown"
"main.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:44 PM","2025-09-27 8:29:44 PM","249017","Unknown"
"powershell.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:48 PM","2025-09-27 8:29:48 PM","4113","Unknown"
"routes.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:44 PM","2025-09-27 8:29:44 PM","5864","Unknown"
"util.js.download","C:\Users\User\Downloads\blueprint code_files","2025-09-27 8:29:48 PM","2025-09-27 8:29:48 PM","319779","Unknown"
"notice_dialog.js.download","C:\Users\User\Downloads\Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor)_files","2025-09-23 3:20:02 PM","2025-09-23 3:20:03 PM","12181","Unknown"
"notice_dialog.js.download","C:\Users\User\Downloads\Evidence Summary Report_ Constitutional Challenge & Systemic Abuse Documentation_files","2025-09-24 12:38:18 PM","2025-09-24 12:38:18 PM","12181","Unknown"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","2025-09-23 7:53:45 PM","2025-09-23 7:53:45 PM","7261","Unknown"
"api.js.download","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","2025-09-23 7:53:46 PM","2025-09-23 7:53:47 PM","1623","Unknown"
